"GANADEROS PRODUCTORES DE LECHE PURA S.A. P.I. DE C.V. "
"Empacadora Campo Frío, S.A. de C.V."
"Frío Espacio Control, S.A.P.I. DE C.V."
"Grupo Gastronómico Gálvez, S.A. de C.V."
"Juan Carlos Fortes Lucio, (Persona Física)"
"Prime Foods de México, S.A. de C.V."
"Pro Agro, S.A. de C.V."
"Super Carnes Selectas, S.A. de C.V."
"X.O. de Chihuahua, S.A. de C.V."
"Agroindustrias del Oriente de Yucatán, A.R.I.C."
"Comercializadora Marlet, S.A. de C.V."
"Comercializadora Porcícola Mexicana, S.A. de C.V."
"Pollo Industrializado de México, S.A. de C.V."
"Salmi del Sureste, S.A. de C.V."
"Buenaventura Grupo Pecuario, S.A. de C.V."
"Frigorífico del Sureste, S.A. de C.V."
"Frigorífico de la Cuenca del Papaloapan, S.A. de C.V."
"Frigorífico y Rastro del Sureste de Veracruz, S.P.R. de R.L."
"Grupo Pecuario San Antonio, S.A. de C.V."
"Procesos y Empacados de Veracruz, S.A. de C.V."
"Rastro y Frigorífico de Tehuacán, S.A. de C.V."
"RYC Alimentos, S.A. de C.V."
"Abastos Cuautitlán, S.A. de C.V."
"Alimentos Centralizados de México, S. de R.L. de C.V."
"Comercializadora de Guisados Mexicanos La Penca, S.A. de C.V."
"Consorcio Dipcen, S.A. de C.V."
"Ecofrío, S.A.P.I. DE C.V."
"El Noble Production, S.A. de C.V."
"Frialsa Frigoríficos, S.A. de C.V."
"Frialsa Frigoríficos, S.A. de C.V."
"Frialsa Frigoríficos, S.A. de C.V"
"Kurson Kosher, S.A. de C.V."
"Nueva Wal-Mart de México, S.R.L. de C.V."
"Obrador y Empacadora La Barca, S.A. de C.V."
"PFS de México, S.A.P.I. DE C.V."
"Qualtia Alimentos Operaciones, S.R.L. de C.V."
"Tiendas Chedraui, S.A. de C.V."
"Tiendas Soriana, S.A. de C.V."
"Tiendas Soriana, S.A. de C.V."
"Costco de México, S.A. de C.V."
"Frialsa Frigoríficos, S.A. de C.V"
"Pilgrim's Pride, S.A. de C.V."
"Frialsa Frigoríficos, S.A. de C.V."
"Frialsa Frigoríficos, S.A. de C.V."
"Pilgrim's Pride, S. de P.R. de R.L."
"Pollo de Querétaro, S.A. de C.V."
"Grupo Gusi, S.P.R. de R.L. de C.V."
"Praderas Huastecas, S.P.R. de R.L."
"Proveedora Industrial Ba3, S.A. de C.V."
"Central Industrial de Cárnicos del Bajio, S.A. de C.V."
"Comercializadora Porcícola Mexicana, S.A. de C.V"
